Text,Author,Date
"CITADEL TALK INVITATION 13
Thème : Etude et adaptation de techniques d'IA pour la traduction automatique des langues locales du Burkina Faso
Paneliste : Hamed Joseph OUILY
📅 01/03/2024
🕔 17h GMT
📍 Université Virtuelle du Burkina Faso(UVBF)
Inscription : https://t.co/U62EfMvH7L https://t.co/JZFszIzFoi",CITADEL UVBF,Thu Feb 22 17:37:25 +0000 2024
"Du 3 au 7 juillet dernier, ils étaient une vingtaine d'étudiants à prendre part à l'atelier de renforcement des capacités en rédaction scientifique et gestion bibliographique organisé par CITADEL au sein de l'Université Virtuelle du Burkina. 
@Universite_JKZ @UVBF https://t.co/U6GInH4xGu",CITADEL UVBF,Wed Jul 12 20:31:01 +0000 2023
"#AmiNet
Retrouvez à 14h30 sur BF1 Pr Jean-Marie Dipama, Président de l'Université Virtuelle du #Burkina, et Teg-Wende @titinto_
d' @OpenBurkina

Ils présenteront le Centre d'Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement (@citadel_uvbf)

#Invités https://t.co/s4kcC3Z7rn",AmiNet,Mon Nov 01 14:08:26 +0000 2021
RDV du 2️⃣0️⃣ au 2️⃣1️⃣ Mai 2022 à l' Université Joseph KI-ZERBO! Liens utiles : Pour vous inscrire👉 https://t.co/6CyaIaohHg  Pour participer à distance👉 https://t.co/90S8prdICk Programme disponible ici : https://t.co/1Go0sqmrlr #ai4dev #intelligenceartificielle #esanté #recherche https://t.co/GAaKPnF6PV,CITADEL UVBF,Wed May 18 21:52:07 +0000 2022
"🌍Dans le cadre de la Semaine Africaine de l'Ingénierie 2024, avec le soutien de l'UNESCO et en collaboration avec l'Université Virtuelle du Burkina Faso et @citadel_uvbf, nous organisons une série d'ateliers du 19 au 21 sep à ISGE-BF. #SemaineIngénierie
 https://t.co/VpwtcMjsC0 https://t.co/z5coXEUAcP",Open Burkina,Thu Sep 19 23:56:13 +0000 2024
"[#CITADEL] : Cérémonie Officielle de Lancement
C’est désormais une réalité ! L’Université Virtuelle du Burkina Faso (UV-BF) abrite le Centre d’Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement [CITADEL]. 
Plus d'infos 👉🏽https://t.co/Z51GBJ7BsR https://t.co/18yCsmAWBM",CITADEL UVBF,Thu Nov 04 10:06:54 +0000 2021
"APPEL A COMMUNICATION
Séminaire sur l’Intelligence Artificielle : Fouille de données Et applications.
Du 20 au 21 Mai 2022 à l'Université Joseph KI-ZERBO
Plus d'informations sur : https://t.co/evYEIOdlVC 
@Universite_JKZ @OpenBurkina @cafdo_officiel https://t.co/4lajzfye4D",CITADEL UVBF,Fri Apr 22 18:11:39 +0000 2022
"🗣️#TALK_INVITATION🗣️ sur ""L'intelligence Artificielle dans le Marketing: Réduire les dépenses et augmenter la rentabilité "" animée par @Ou1David, Ingénieur à Micropole France. RDV: 18 Novembre 2022 à 16h:00 au siège l'Université Virtuelle  ou en ligne:https://t.co/8tQjnn6mvg https://t.co/PLfkxOCT8a",CITADEL UVBF,Mon Nov 14 17:29:10 +0000 2022
"Les informaticiens de certains #IESR du BURKINA ont participé à cet atelier de fédération des identités tenu à l'UVBF et animé par @ricoattou.
Un cadre d'échange très riche en connaissance que j'aimerais revoir.
@Universite_JKZ",Seydou KONSIMBO,Sat Aug 05 09:32:25 +0000 2023
#civesu L'Université Virtuelle du Burkina Faso est mis en oeuvre avec l'appui de la @Banquemondiale tout comme @UVS_Senegal. Le model de UVBF est calqué sur celui du Sénégal avec des espaces numériques.,"Antoine MIAN, Ph.D.",Mon Sep 23 11:19:51 +0000 2019
"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",JJ Quairiat,Wed Mar 08 07:12:02 +0000 2023
Ce fut un grand plaisir pour moi de coanimé un webinaire sur le thème de l’entrepreneuriat et de partager mon expérience aux étudiants du #Master #Fouilles de #Données et #IA de l’université Virtuelle du #Burkina Faso #uvbf. https://t.co/dWqhk7s4BP,TECHNATIUM,Thu Jan 27 08:42:13 +0000 2022
RDV ce 2️⃣7️⃣ octobre 2021 à ⏰14h 30 min à l'Université Virtuelle du Burkina Faso sis à Ouaga 2000 pour le lancement officiel du 1er laboratoire d’innovation Burkinabé qui formera les leaders de demain en #intelligence_artificielle. #ai4dev #citadeluvbf #innovation #informatique https://t.co/M3OydU7Kul,CITADEL UVBF,Mon Oct 25 12:33:14 +0000 2021
"Plus que quelques heures pour le lancement officiel de @citadel_uvbf 
🕝14h30

Lieu : Université virtuelle du Burkina Faso sis à Ouaga 2000, boulevard Mouammar Kadhafi

Possibilité de participer en ligne https://t.co/7UCn9Xfy4C

#ai4dev
 #citadeluvbf https://t.co/1wMfWvuCZm",Open Burkina,Wed Oct 27 12:18:30 +0000 2021
"CITADEL TALK INVITATION 13
Thème : Etude et adaptation de techniques d'IA pour la traduction automatique des langues locales du Burkina Faso
Paneliste : Hamed Joseph OUILY
📅 01/03/2024
🕔 17h GMT
📍 Université Virtuelle du Burkina Faso(UVBF)
Inscription : https://t.co/U62EfMvH7L https://t.co/JZFszIzFoi",CITADEL UVBF,Thu Feb 22 17:37:25 +0000 2024
"Du 3 au 7 juillet dernier, ils étaient une vingtaine d'étudiants à prendre part à l'atelier de renforcement des capacités en rédaction scientifique et gestion bibliographique organisé par CITADEL au sein de l'Université Virtuelle du Burkina. 
@Universite_JKZ @UVBF https://t.co/U6GInH4xGu",CITADEL UVBF,Wed Jul 12 20:31:01 +0000 2023
"#AmiNet
Retrouvez à 14h30 sur BF1 Pr Jean-Marie Dipama, Président de l'Université Virtuelle du #Burkina, et Teg-Wende @titinto_
d' @OpenBurkina

Ils présenteront le Centre d'Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement (@citadel_uvbf)

#Invités https://t.co/s4kcC3Z7rn",AmiNet,Mon Nov 01 14:08:26 +0000 2021
RDV du 2️⃣0️⃣ au 2️⃣1️⃣ Mai 2022 à l' Université Joseph KI-ZERBO! Liens utiles : Pour vous inscrire👉 https://t.co/6CyaIaohHg  Pour participer à distance👉 https://t.co/90S8prdICk Programme disponible ici : https://t.co/1Go0sqmrlr #ai4dev #intelligenceartificielle #esanté #recherche https://t.co/GAaKPnF6PV,CITADEL UVBF,Wed May 18 21:52:07 +0000 2022
"🌍Dans le cadre de la Semaine Africaine de l'Ingénierie 2024, avec le soutien de l'UNESCO et en collaboration avec l'Université Virtuelle du Burkina Faso et @citadel_uvbf, nous organisons une série d'ateliers du 19 au 21 sep à ISGE-BF. #SemaineIngénierie
 https://t.co/VpwtcMjsC0 https://t.co/z5coXEUAcP",Open Burkina,Thu Sep 19 23:56:13 +0000 2024
"[#CITADEL] : Cérémonie Officielle de Lancement
C’est désormais une réalité ! L’Université Virtuelle du Burkina Faso (UV-BF) abrite le Centre d’Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement [CITADEL]. 
Plus d'infos 👉🏽https://t.co/Z51GBJ7BsR https://t.co/18yCsmAWBM",CITADEL UVBF,Thu Nov 04 10:06:54 +0000 2021
"APPEL A COMMUNICATION
Séminaire sur l’Intelligence Artificielle : Fouille de données Et applications.
Du 20 au 21 Mai 2022 à l'Université Joseph KI-ZERBO
Plus d'informations sur : https://t.co/evYEIOdlVC 
@Universite_JKZ @OpenBurkina @cafdo_officiel https://t.co/4lajzfye4D",CITADEL UVBF,Fri Apr 22 18:11:39 +0000 2022
"🗣️#TALK_INVITATION🗣️ sur ""L'intelligence Artificielle dans le Marketing: Réduire les dépenses et augmenter la rentabilité "" animée par @Ou1David, Ingénieur à Micropole France. RDV: 18 Novembre 2022 à 16h:00 au siège l'Université Virtuelle  ou en ligne:https://t.co/8tQjnn6mvg https://t.co/PLfkxOCT8a",CITADEL UVBF,Mon Nov 14 17:29:10 +0000 2022
"Les informaticiens de certains #IESR du BURKINA ont participé à cet atelier de fédération des identités tenu à l'UVBF et animé par @ricoattou.
Un cadre d'échange très riche en connaissance que j'aimerais revoir.
@Universite_JKZ",Seydou KONSIMBO,Sat Aug 05 09:32:25 +0000 2023
#civesu L'Université Virtuelle du Burkina Faso est mis en oeuvre avec l'appui de la @Banquemondiale tout comme @UVS_Senegal. Le model de UVBF est calqué sur celui du Sénégal avec des espaces numériques.,"Antoine MIAN, Ph.D.",Mon Sep 23 11:19:51 +0000 2019
"#Burkina🇧🇫 : 26 doctorants en maths présentent l'avancement de leurs travaux à l'université Joseph Ki Zerbo 

Le Laboratoire de mathématiques et d'informatique a ouvert la session des travaux des doctoriales ce mardi 22 octobre 2024 à l' Université Joseph Ki-Zerbo de Ouagadougou. https://t.co/f7TI8vWJg9",Emmanuel Tapsoba,Tue Oct 22 10:42:12 +0000 2024
@nouche_ @DonFroggo @Mattykko @ElieGJ Frerot ca sert a rien de parler avec eux ils n’ont jamais mis un pied dans une université sinon ils ne penseraient pas comme ca 🤣🤣,Moha.,Tue Oct 22 10:39:41 +0000 2024
"Premièrement au sein de l’université. Comme je le disais, c’est vraiment une fenêtre ouverte où vous avez l’opportunité de rencontrer des étudiants et professeurs venant de partout dans le monde.",L'homme Takander🇸🇳,Tue Oct 22 10:38:21 +0000 2024
"Pour le cas de mon université on avait trois sortes d’évaluation. QCM, Essays ou des rapports de projet. Préparez-vous à lire beaucoup beaucoup même (qui m’a envoyé 🤧).",L'homme Takander🇸🇳,Tue Oct 22 10:35:28 +0000 2024
@droiteuniv @UNI__Tours C'est dans ce dialogue que l'on voit vraiment que l'idéologie d'extrême gauche gangrène l'université. Ce professeur a un devoir de neutralité politique. C'est elle qui est indigne de son métier.,Baraban 🇫🇷,Tue Oct 22 10:35:05 +0000 2024
